index,三维坐标X,三维坐标Y,三维坐标Z,位移场DX
12765,-25.9086,-56.5667,1021.96,-0.489185
12766,-25.0409,-56.5883,1022.28,-0.488658
12767,-24.1723,-56.61,1022.6,-0.487679
12768,-23.3036,-56.6318,1022.91,-0.487078
12769,-22.4347,-56.6531,1023.23,-0.48694
12770,-21.5647,-56.6765,1023.55,-0.486035
12771,-20.6995,-56.7028,1023.86,-0.490819
12772,-11.9645,-56.9265,1027.01,-0.482632
12773,-11.088,-56.9455,1027.34,-0.481678
12774,-10.2105,-56.9656,1027.64,-0.480422
12775,-9.33346,-56.9852,1027.97,-0.48002
12776,-8.45584,-57.0078,1028.32,-0.479369
12777,-7.57753,-57.0307,1028.64,-0.47886
12778,-6.69884,-57.0528,1028.96,-0.478544
12779,-5.81975,-57.0754,1029.28,-0.478358
12780,-4.93975,-57.0977,1029.6,-0.477806
12781,-4.05931,-57.1201,1029.92,-0.477367
12782,-3.17811,-57.142,1030.24,-0.476711
12783,-2.29613,-57.1662,1030.56,-0.47581
12784,7.43157,-57.4033,1034,-0.476153
12785,8.32277,-57.4266,1034.4,-0.473425
12786,9.21422,-57.4591,1034.75,-0.470548
12787,10.1044,-57.4844,1035.06,-0.469254
12788,10.9944,-57.507,1035.35,-0.468368
12789,11.8853,-57.5289,1035.67,-0.467554
12790,12.7768,-57.551,1035.99,-0.466574
12791,13.6686,-57.5735,1036.31,-0.465978
12792,14.5615,-57.5963,1036.63,-0.464813
12793,15.4543,-57.6191,1036.95,-0.46428
12794,16.3476,-57.6416,1037.27,-0.463812
12795,17.2429,-57.6603,1037.58,-0.461862
12796,18.1368,-57.6808,1037.88,-0.461629
12797,27.1179,-58.0055,1041.4,-0.459462
12798,28.0158,-57.9852,1041.56,-0.457924
12799,28.9145,-57.9697,1041.82,-0.458716
12800,29.8162,-57.9902,1042.12,-0.458042
12801,30.7184,-58.0121,1042.42,-0.457321
12802,31.622,-58.0353,1042.74,-0.456403
12803,32.5262,-58.0577,1043.06,-0.455446
12804,33.4309,-58.0804,1043.39,-0.454715
12805,34.3364,-58.1028,1043.71,-0.453645
12806,35.2418,-58.1258,1044.03,-0.453191
12807,36.1478,-58.1475,1044.35,-0.452564
12808,37.0551,-58.1669,1044.66,-0.451331
12809,37.9638,-58.2134,1045,-0.449815
12810,47.0736,-58.4971,1048.42,-0.448034
12811,47.9837,-58.4741,1048.64,-0.448423
12812,48.8964,-58.483,1048.91,-0.447445
12813,49.8104,-58.4994,1049.2,-0.446575
12814,50.7263,-58.5211,1049.53,-0.445831
12815,51.6429,-58.5447,1049.85,-0.445043
12816,52.5607,-58.5682,1050.18,-0.443833
12817,53.4784,-58.5909,1050.5,-0.443064
12818,54.397,-58.6137,1050.82,-0.442086
12819,55.3157,-58.6379,1051.14,-0.441433
12820,56.2341,-58.6568,1051.44,-0.440252
12821,57.1527,-58.6787,1051.74,-0.439927
12822,66.4014,-58.9715,1055.29,-0.437297
12823,67.3215,-58.958,1055.48,-0.435795
12824,68.243,-58.9633,1055.71,-0.435646
12825,69.1676,-58.9839,1055.99,-0.435972
12826,70.0961,-59.0073,1056.3,-0.434631
12827,71.0256,-59.031,1056.62,-0.433712
12828,71.9553,-59.0551,1056.94,-0.433081
12829,72.8853,-59.0782,1057.26,-0.432715
12830,73.817,-59.1027,1057.59,-0.431655
12831,74.748,-59.1267,1057.91,-0.431359
12832,75.677,-59.1513,1058.21,-0.432688
12833,76.6125,-59.1748,1058.55,-0.43072
12834,77.5436,-59.2142,1058.85,-0.430852
12835,-28.5132,-57.3738,1020.99,-0.495594
12836,-27.6469,-57.3955,1021.31,-0.494772
12837,-26.7802,-57.4169,1021.62,-0.494133
12838,-25.9128,-57.439,1021.94,-0.493374
12839,-25.0452,-57.4609,1022.25,-0.492774
12840,-24.1767,-57.4826,1022.57,-0.491939
12841,-23.3079,-57.5048,1022.89,-0.491272
12842,-22.4392,-57.5266,1023.2,-0.491227
12843,-21.569,-57.5512,1023.53,-0.490019
12844,-20.704,-57.5803,1023.84,-0.494989
12845,-11.9693,-57.7964,1026.99,-0.487204
12846,-11.0929,-57.8179,1027.32,-0.486262
12847,-10.2153,-57.8407,1027.62,-0.484942
12848,-9.33788,-57.8619,1027.95,-0.484136
12849,-8.46041,-57.8855,1028.3,-0.48367
12850,-7.58204,-57.9085,1028.62,-0.483095
12851,-6.70316,-57.9305,1028.94,-0.482596
12852,-5.82416,-57.9528,1029.25,-0.482495
12853,-4.94428,-57.9752,1029.57,-0.482073
12854,-4.06395,-57.998,1029.89,-0.48173
12855,-3.18312,-58.0196,1030.21,-0.481439
12856,-2.30088,-58.0438,1030.54,-0.480266
12857,6.53467,-58.2822,1033.68,-0.485455
12858,7.42634,-58.3005,1034.02,-0.481329
12859,8.31817,-58.3238,1034.37,-0.477507
12860,9.21002,-58.3498,1034.72,-0.474315
12861,10.1001,-58.3697,1035.04,-0.473145
12862,10.9902,-58.3906,1035.33,-0.472241
12863,11.881,-58.413,1035.65,-0.471491
12864,12.7725,-58.4353,1035.97,-0.470586
12865,13.6642,-58.458,1036.29,-0.470054
12866,14.5572,-58.4813,1036.61,-0.468766
12867,15.4502,-58.5045,1036.93,-0.468067
12868,16.3436,-58.5276,1037.25,-0.467512
12869,17.2396,-58.5483,1037.57,-0.465008
12870,18.1344,-58.5777,1037.89,-0.464059
12871,27.1114,-58.8837,1041.32,-0.46419
12872,28.0092,-58.8575,1041.51,-0.463474
12873,28.9108,-58.8641,1041.79,-0.461955
12874,29.8125,-58.8831,1042.1,-0.461528
12875,30.7146,-58.9024,1042.4,-0.460876
12876,31.6181,-58.9261,1042.73,-0.460162
12877,32.5225,-58.9492,1043.05,-0.459065
12878,33.427,-58.9723,1043.37,-0.458428
12879,34.3324,-58.9952,1043.69,-0.457507
12880,35.2377,-59.018,1044.01,-0.457145
12881,36.1439,-59.0417,1044.34,-0.456522
12882,37.051,-59.0633,1044.66,-0.455589
12883,37.9602,-59.1073,1045,-0.453938
12884,46.1574,-59.3853,1048.11,-0.453914
12885,47.0657,-59.3807,1048.31,-0.453348
12886,47.9789,-59.3656,1048.6,-0.452145
